sample,TCGA-S9-A7J2-01
ENST00000474158.1,0.0000
ENST00000463206.1,45.5900
ENST00000440028.2,0.0000
ENST00000367207.7,100.0000
ENST00000489781.2,0.1700
ENST00000507249.5,0.0000
ENST00000353704.2,61.6300
ENST00000512684.1,0.0000
ENST00000563138.5,0.0000
ENST00000429435.1,0.0000
ENST00000372990.5,7.4200
ENST00000484814.1,0.0000
ENST00000365480.1,0.0000
ENST00000624502.3,0.0000
ENST00000384882.1,0.0000
ENST00000438526.2,0.0000
ENST00000263897.9,83.4500
ENST00000405256.5,0.0000
ENST00000414138.6,0.0000
ENST00000528736.1,1.5000
ENST00000537075.2,0.0000
ENST00000570024.1,100.0000
ENST00000489402.1,1.4900
ENST00000380715.5,3.9200
ENST00000512507.5,1.3700
ENST00000582187.1,0.0000
ENST00000540600.5,0.0000
ENST00000353487.6,52.3100
ENST00000561441.5,0.0000
ENST00000533514.1,3.7100
ENST00000328736.7,53.8800
ENST00000523829.5,11.1100
ENST00000558319.5,0.0000
ENST00000413543.6,15.2600
ENST00000510819.5,0.0000
ENST00000372263.3,77.2600
ENST00000437269.1,0.0000
ENST00000409466.6,2.8500
ENST00000430669.6,0.5300
ENST00000497160.5,7.7200
ENST00000515311.5,56.3700
ENST00000568898.5,0.0000
ENST00000530285.5,0.2500
ENST00000401473.7,3.9300
ENST00000368630.7,13.3000
ENST00000622319.1,0.0000
ENST00000511529.1,15.1300
ENST00000359005.8,26.5000
ENST00000595838.5,7.7200
ENST00000324472.8,43.7400
ENST00000587862.5,1.9400
ENST00000525629.1,0.0000
ENST00000605587.1,100.0000
ENST00000492069.5,0.7400
ENST00000586432.5,0.0000
ENST00000526202.5,14.3800
ENST00000422920.1,6.9500
ENST00000525563.1,100.0000
ENST00000452775.1,0.0000
ENST00000486906.1,43.0200
ENST00000556915.5,0.0000
ENST00000526773.2,0.0000
ENST00000450898.1,0.5000
ENST00000593270.1,100.0000
ENST00000588743.2,10.5800
ENST00000467752.5,0.0000
ENST00000591519.1,0.0000
ENST00000545361.5,0.0000
ENST00000273009.10,6.4300
ENST00000521562.5,0.0000
ENST00000627442.1,0.0000
ENST00000575958.5,0.0000
ENST00000476334.1,3.4300
ENST00000560778.2,100.0000
ENST00000422198.1,0.0000
ENST00000516500.1,0.0000
ENST00000442012.5,0.0000
ENST00000532087.1,100.0000
ENST00000555862.1,0.0000
ENST00000508113.1,31.7700
ENST00000422239.5,100.0000
ENST00000560756.5,0.0000
ENST00000542983.1,3.4000
ENST00000611702.4,13.9700
ENST00000503597.1,0.0000
ENST00000528852.5,7.5200
ENST00000608605.1,24.1300
ENST00000443011.5,0.0000
ENST00000555761.5,1.0000
ENST00000590642.1,0.0000
ENST00000413849.1,0.0000
ENST00000484453.1,0.0000
ENST00000616512.1,100.0000
ENST00000597719.1,0.0000
ENST00000490262.1,2.1800
ENST00000560985.5,10.5800
ENST00000207870.7,69.9800
ENST00000513376.5,39.0000
ENST00000505194.5,0.0000
ENST00000417800.1,0.0000
ENST00000539444.5,0.0000
ENST00000360995.8,10.4200
ENST00000293525.5,0.0000
ENST00000537911.5,0.0000
ENST00000567352.1,1.7000
ENST00000528205.1,0.0000
ENST00000502401.1,2.0100
ENST00000562895.1,0.0000
ENST00000611059.1,0.0000
ENST00000497241.5,0.0000
ENST00000628080.1,0.0000
ENST00000281834.3,100.0000
ENST00000525979.5,0.0000
ENST00000429344.6,75.9700
ENST00000473154.1,0.0000
ENST00000238607.10,35.8100
ENST00000460892.1,2.1000
ENST00000508998.5,0.0000
ENST00000550403.5,0.0000
ENST00000569751.1,0.0000
ENST00000562757.5,0.7900
ENST00000528384.5,0.0000
ENST00000562932.5,0.0000
ENST00000304330.8,61.2100
ENST00000545387.6,3.0100
ENST00000513826.1,0.0200
ENST00000518236.1,32.4200
ENST00000579569.5,0.0000
ENST00000515977.1,0.0000
ENST00000424471.1,23.0600
ENST00000585558.5,0.5500
ENST00000378746.8,57.1000
ENST00000367498.7,62.8800
ENST00000368396.8,0.0000
ENST00000554267.1,0.0000
ENST00000436821.1,0.0000
ENST00000479019.5,6.3600
ENST00000536250.1,0.0000
ENST00000508115.1,0.0000
ENST00000471397.1,0.0000
ENST00000484127.5,0.0000
ENST00000282260.10,0.0000
ENST00000468022.5,0.8100
ENST00000515452.1,0.0000
ENST00000598726.1,0.0000
ENST00000394420.8,74.9600
ENST00000518708.1,0.0000
ENST00000583287.1,100.0000
ENST00000558017.5,21.5200
ENST00000623183.1,0.0000
ENST00000438978.1,24.7300
ENST00000550268.2,0.0000
ENST00000363331.1,0.0000
ENST00000613302.4,0.0000
ENST00000406855.7,67.2200
ENST00000530868.1,10.4900
ENST00000489077.1,0.0000
ENST00000486273.1,0.0000
ENST00000508465.5,11.2300
ENST00000443648.5,2.4800
ENST00000589200.2,0.3700
ENST00000342945.9,0.0000
ENST00000457715.1,0.4800
ENST00000393276.7,31.6300
ENST00000334325.1,100.0000
ENST00000342022.8,3.9500
ENST00000503049.1,0.0000
ENST00000559739.1,66.3200
ENST00000384452.1,0.0000
ENST00000587485.1,0.0000
ENST00000520751.1,0.2400
ENST00000472205.1,27.6100
ENST00000602852.1,11.8000
ENST00000481074.1,1.6200
ENST00000382826.2,0.0000
ENST00000608394.5,0.0000
ENST00000384297.1,0.0000
ENST00000579980.1,0.0000
ENST00000520672.2,0.0000
ENST00000356970.6,33.4700
ENST00000482628.5,0.6800
ENST00000620582.1,0.0000
ENST00000341749.7,47.6500
ENST00000533161.5,1.3800
ENST00000380900.2,35.8200
ENST00000377991.8,0.9100
ENST00000215739.12,35.4500
ENST00000392674.3,0.0000
ENST00000362682.1,0.0000
ENST00000620601.1,41.7000
ENST00000517953.5,0.0000
ENST00000539421.1,4.5600
ENST00000447375.1,0.0000
ENST00000487670.1,0.1100
ENST00000420617.1,100.0000
ENST00000627394.2,0.0000
ENST00000480085.1,0.0000
ENST00000417935.1,6.9400
ENST00000431782.1,0.0000
ENST00000460208.1,48.3200
ENST00000520135.5,1.0000
ENST00000495564.5,1.2200
ENST00000557207.1,0.4300
ENST00000437571.1,0.0000
ENST00000537203.5,0.0000
ENST00000397311.4,26.1700
ENST00000434140.5,2.0700
ENST00000526646.1,100.0000
ENST00000466277.5,18.3900
ENST00000447054.5,1.1500
ENST00000417560.3,0.0000
ENST00000459595.1,0.0000
ENST00000557184.1,0.0000
ENST00000566550.1,0.1800
ENST00000437003.3,5.4800
ENST00000434041.6,29.1000
ENST00000489095.1,0.0000
ENST00000575531.5,0.9200
ENST00000585673.5,37.7000
ENST00000591773.5,1.4700
ENST00000367030.7,0.0000
ENST00000587682.5,42.3500
ENST00000509100.5,0.0000
ENST00000483552.1,12.6500
ENST00000592954.1,0.0000
ENST00000472023.5,0.0000
ENST00000504166.2,0.0000
ENST00000533183.1,0.0000
ENST00000528271.1,2.4700
ENST00000566877.5,0.0000
ENST00000552185.5,4.8300
ENST00000361758.8,7.1600
ENST00000334218.9,7.6100
ENST00000591281.5,2.6600
ENST00000483921.1,0.0000
ENST00000530190.1,0.0000
ENST00000550496.1,9.6500
ENST00000560354.1,0.0000
ENST00000575690.5,0.0000
ENST00000273347.9,10.2800
ENST00000491528.1,30.2900
ENST00000509081.5,50.2800
ENST00000587105.1,0.0000
ENST00000533200.5,0.0000
ENST00000347077.8,26.2400
ENST00000496257.1,0.0000
ENST00000265707.9,0.0000
ENST00000515787.5,0.0000
ENST00000524931.1,16.0500
ENST00000520459.1,0.0000
ENST00000594258.1,0.0000
ENST00000293195.9,64.5100
ENST00000536394.1,0.0000
ENST00000357303.3,55.7300
ENST00000461698.5,15.2600
ENST00000391064.1,0.0000
ENST00000629067.1,100.0000
ENST00000559991.1,82.5300
ENST00000424576.6,1.1400
ENST00000528550.1,0.0000
ENST00000537824.2,47.1100
ENST00000497477.6,4.8900
ENST00000562225.1,25.7300
ENST00000459796.1,0.1600
ENST00000432589.5,0.0000
ENST00000496334.6,0.0000
ENST00000301717.8,49.1500
ENST00000497514.2,13.7200
ENST00000429231.1,0.0000
ENST00000511712.1,0.0000
ENST00000425205.1,0.0000
ENST00000526365.1,100.0000
ENST00000445182.2,100.0000
ENST00000422247.6,11.6800
ENST00000470724.5,90.9500
ENST00000550470.1,0.0000
ENST00000495665.2,0.0000
ENST00000545777.1,0.0000
ENST00000513196.1,0.0000
ENST00000577611.1,2.0700
ENST00000327668.11,20.2800
ENST00000557332.5,0.0000
ENST00000524852.1,7.9400
ENST00000371750.9,0.0000
ENST00000522508.1,0.0000
ENST00000497959.5,0.9200
ENST00000517476.5,9.9700
ENST00000535078.1,0.0000
ENST00000466173.1,1.5200
ENST00000610217.1,0.0000
ENST00000445201.1,100.0000
ENST00000583856.1,0.0000
ENST00000520978.5,5.5500
ENST00000533919.5,0.4000
ENST00000566895.5,18.1700
ENST00000367144.4,4.7600
ENST00000538972.1,4.3300
ENST00000390957.1,0.0000
ENST00000573823.5,0.0000
ENST00000450041.5,6.0200
ENST00000342648.9,11.8500
ENST00000547166.1,0.0000
ENST00000306167.11,29.2200
ENST00000422887.1,0.0000
ENST00000382393.2,2.2100
ENST00000504281.1,1.7000
ENST00000610335.4,12.8600
ENST00000397977.7,32.1400
ENST00000595114.1,0.0000
ENST00000408500.1,0.0000
ENST00000524456.1,0.0000
ENST00000538966.5,10.4700
ENST00000397814.7,0.0000
ENST00000390834.1,0.0000
ENST00000412568.6,0.0000
ENST00000620784.1,0.0000
ENST00000520000.5,0.0000
ENST00000405018.5,19.4700
ENST00000482442.1,1.1400
ENST00000470107.1,4.7600
ENST00000548022.1,6.0200
ENST00000433675.1,100.0000
ENST00000475654.5,0.0000
ENST00000535286.5,3.8900
ENST00000534549.5,1.8500
ENST00000559644.5,0.0000
ENST00000575223.5,31.6800
ENST00000384787.1,0.0000
ENST00000382451.6,2.0300
ENST00000623369.1,100.0000
ENST00000545037.1,0.0000
ENST00000397459.6,7.6100
ENST00000410439.1,0.0000
ENST00000471484.1,0.0000
ENST00000480950.1,0.0000
ENST00000585824.1,0.0000
ENST00000491526.6,3.7900
ENST00000427786.1,0.0000
ENST00000477289.1,13.3200
ENST00000513525.1,26.6200
ENST00000372047.7,35.8100
ENST00000493688.5,0.0000
ENST00000613403.1,0.0000
ENST00000404694.3,2.6800
ENST00000556654.5,0.5500
ENST00000432360.1,0.0000
ENST00000601498.5,1.9100
ENST00000571835.5,0.0000
ENST00000507385.1,2.9600
ENST00000483847.1,0.1800
ENST00000579458.1,100.0000
ENST00000373664.7,92.4300
ENST00000577433.5,0.6800
ENST00000533416.1,0.0000
ENST00000515616.1,31.3200
ENST00000472462.1,0.0000
ENST00000462669.1,15.1600
ENST00000358438.6,100.0000
ENST00000578708.1,0.0000
ENST00000441986.5,0.0000
ENST00000573349.5,24.8700
ENST00000547555.5,0.0000
ENST00000517052.1,0.0000
ENST00000583593.2,1.1200
ENST00000565266.1,0.0000
ENST00000603049.1,0.0000
ENST00000523468.5,3.3900
ENST00000607176.1,100.0000
ENST00000433300.1,0.0000
ENST00000626966.2,0.0000
ENST00000575316.1,0.0000
ENST00000493507.5,0.0000
ENST00000540033.2,60.0600
ENST00000265085.9,11.7200
ENST00000436164.1,0.0000
ENST00000616623.4,25.8800
ENST00000524010.1,0.0000
ENST00000577964.2,100.0000
ENST00000378470.5,68.4600
ENST00000412934.2,23.1900
ENST00000618835.1,100.0000
ENST00000618000.1,100.0000
ENST00000627532.2,18.5500
ENST00000411374.2,0.0000
ENST00000479451.5,29.7200
ENST00000596039.1,1.4500
ENST00000398892.7,3.4200
ENST00000482561.1,9.2800
ENST00000498761.5,1.2500
ENST00000591353.5,0.0000
ENST00000479419.1,1.7800
ENST00000448728.1,0.1200
ENST00000623622.1,2.0000
ENST00000395287.5,0.0700
ENST00000550121.5,0.0000
ENST00000433083.6,53.8900
ENST00000263681.6,77.2200
ENST00000417848.2,0.0000
ENST00000384567.1,0.0000
ENST00000624837.1,100.0000
ENST00000463675.5,0.0800
ENST00000633651.1,30.2500
ENST00000524804.1,4.4900
ENST00000601953.5,30.2000
ENST00000419619.2,0.0000
ENST00000384323.1,0.0000
ENST00000537694.1,0.0000
ENST00000487311.1,1.3900
ENST00000533965.5,37.5000
ENST00000524703.1,0.0000
ENST00000498255.6,0.0000
ENST00000591993.5,0.0000
ENST00000539066.5,0.0000
ENST00000604558.1,0.0000
ENST00000408694.1,0.0000
ENST00000596119.5,0.0000
ENST00000557148.5,0.0000
ENST00000617537.4,57.0100
ENST00000393038.2,94.5500
ENST00000295694.9,62.1400
ENST00000475429.5,0.0000
ENST00000357058.7,1.5500
ENST00000504235.5,31.2300
ENST00000524352.5,2.2100
ENST00000522608.5,0.0000
ENST00000395476.6,11.6900
ENST00000448795.5,20.2700
ENST00000318666.6,0.0000
ENST00000322313.8,45.6300
ENST00000545102.1,9.2300
ENST00000565935.1,0.0000
ENST00000610330.1,1.3100
ENST00000468610.5,0.0000
ENST00000423353.1,0.0000
ENST00000336689.7,74.0500
ENST00000369687.2,94.6000
ENST00000585911.1,9.5300
ENST00000564631.5,0.0000
ENST00000446558.5,0.0500
ENST00000533824.5,0.0000
ENST00000601556.5,0.0000
ENST00000624046.1,100.0000
ENST00000498806.1,16.9900
ENST00000498720.1,1.0600
ENST00000547878.6,8.8800
ENST00000405515.5,17.1400
ENST00000603621.1,0.9000
ENST00000384018.1,0.0000
ENST00000515257.6,0.6900
ENST00000526914.1,0.0000
ENST00000361745.10,9.2900
ENST00000624582.3,0.0000
ENST00000598494.5,9.9200
ENST00000462833.5,61.3200
ENST00000497548.5,0.0000
ENST00000357666.8,17.3800
ENST00000446969.1,0.0000
ENST00000540300.1,1.8800
ENST00000439839.1,100.0000
ENST00000568512.5,0.0000
ENST00000610253.5,0.1900
ENST00000457560.1,0.0000
ENST00000477460.6,3.4300
ENST00000335987.7,64.6900
ENST00000618320.4,0.0000
ENST00000419040.6,0.0000
ENST00000433817.2,0.0000
ENST00000461644.5,0.0000
ENST00000357490.6,0.0000
ENST00000435417.1,4.1400
ENST00000547701.5,0.0000
ENST00000488944.5,0.6600
ENST00000577851.1,0.0000
ENST00000518745.1,100.0000
ENST00000436808.2,0.0000
ENST00000476054.5,0.0000
ENST00000623542.1,100.0000
ENST00000567219.1,0.0000
ENST00000581368.5,4.7600
ENST00000586922.2,100.0000
ENST00000424138.1,0.0000
ENST00000498077.6,10.5700
ENST00000624665.3,0.0000
ENST00000577980.2,0.0000
ENST00000338855.6,0.0000
ENST00000554222.5,24.9000
ENST00000367993.7,50.5900
ENST00000498396.2,3.8800
ENST00000526165.1,100.0000
ENST00000601632.5,0.0000
ENST00000404843.5,0.0000
ENST00000624902.1,0.0000
ENST00000520298.5,44.7100
ENST00000502830.1,0.0000
ENST00000585452.1,0.1900
ENST00000584463.1,3.1400
ENST00000480036.5,0.0000
ENST00000402383.3,0.0000
ENST00000488961.5,21.1600
ENST00000539212.5,2.0700
ENST00000581693.5,24.0500
ENST00000548783.1,0.2200
ENST00000592423.1,22.4300
ENST00000551007.1,5.9100
ENST00000589614.5,0.0000
ENST00000462050.5,0.0000
ENST00000362911.1,0.0000
ENST00000429594.1,0.0000
ENST00000550195.5,0.1900
ENST00000522492.1,0.0000
ENST00000303545.3,99.1100
ENST00000607150.1,0.0000
ENST00000389328.8,3.6100
ENST00000434488.2,0.0000
ENST00000411029.1,0.0000
ENST00000486232.1,100.0000
ENST00000440614.1,0.0000
ENST00000533883.1,0.0000
ENST00000534612.5,0.0000
ENST00000564526.1,12.1400
ENST00000365359.1,0.0000
ENST00000622383.1,0.0000
ENST00000491773.5,6.4000
ENST00000571805.5,10.4100
ENST00000484583.1,0.0000
ENST00000602454.1,0.0000
ENST00000479223.1,4.5600
ENST00000540522.5,0.0000
ENST00000566332.5,0.0000
ENST00000270457.8,24.4800
ENST00000430733.1,0.0000
ENST00000613719.1,8.8800
ENST00000482234.1,15.2300
ENST00000548602.5,12.6300
ENST00000517638.5,17.0600
ENST00000404589.7,48.1800
ENST00000591226.1,0.2900
ENST00000536663.5,1.9500
ENST00000475235.1,0.0000
ENST00000353841.6,1.8300
ENST00000508814.5,0.0000
ENST00000515151.1,8.3500
ENST00000583171.5,3.2600
ENST00000216037.10,78.8500
ENST00000541456.1,0.8300
ENST00000468406.5,1.1100
ENST00000577988.2,0.0000
ENST00000491025.5,0.0000
ENST00000576058.2,0.0000
ENST00000600508.5,0.0000
ENST00000506511.5,41.9900
ENST00000579941.1,0.0000
ENST00000560715.5,0.2000
ENST00000451919.1,3.7300
ENST00000571405.5,21.1400
ENST00000610540.4,0.0000
ENST00000339355.2,100.0000
ENST00000555803.5,0.0000
ENST00000609510.1,100.0000
ENST00000431473.3,100.0000
ENST00000541662.5,0.0000
ENST00000574379.2,20.3200
ENST00000598382.1,3.6100
ENST00000398491.6,6.6100
ENST00000468381.2,35.5500
ENST00000612193.1,100.0000
ENST00000506129.5,1.1600
ENST00000486841.1,18.2200
ENST00000397763.5,12.4900
ENST00000550396.1,0.0000
ENST00000571584.1,8.9700
ENST00000586664.1,12.3200
ENST00000603453.5,2.2200
ENST00000467650.3,100.0000
ENST00000592765.5,0.0000
ENST00000619673.1,100.0000
ENST00000545979.1,1.6200
ENST00000335749.4,8.4700
ENST00000560960.2,0.0000
ENST00000360422.8,0.0000
ENST00000530151.5,0.0000
ENST00000408005.2,6.0900
ENST00000630418.1,15.9600
ENST00000593011.5,0.0000
ENST00000548856.1,100.0000
ENST00000465603.5,0.0000
ENST00000415863.5,0.0000
ENST00000448424.6,0.0000
ENST00000570636.2,0.0000
ENST00000574458.1,4.0200
ENST00000528894.8,12.8300
ENST00000465184.1,11.5800
ENST00000472516.1,0.0000
ENST00000608944.5,0.0000
ENST00000427946.5,1.1900
ENST00000416358.5,0.0000
ENST00000619552.1,0.0000
ENST00000461895.3,100.0000
ENST00000554590.5,1.0500
ENST00000422764.1,0.0000
ENST00000419667.2,0.0000
ENST00000581202.5,0.0000
ENST00000333640.10,17.8300
ENST00000521416.5,21.6600
ENST00000554317.5,0.0000
ENST00000568774.5,0.9900
ENST00000469855.1,8.0500
ENST00000583733.1,5.2300
ENST00000611763.4,0.0000
ENST00000510584.1,1.5800
ENST00000524416.1,21.0600
ENST00000548393.2,0.0000
ENST00000456677.1,6.6700
ENST00000598747.1,0.0000
ENST00000332503.5,100.0000
ENST00000593158.1,0.6000
ENST00000581181.5,33.3900
ENST00000562570.1,33.0400
ENST00000554765.1,0.0000
ENST00000451061.5,0.0000
ENST00000588189.1,100.0000
ENST00000579151.1,9.8100
ENST00000376250.6,0.0000
ENST00000616223.4,0.0000
ENST00000420684.1,0.0000
ENST00000506779.1,0.0000
ENST00000437634.1,100.0000
ENST00000514247.5,24.8500
ENST00000530501.1,0.0000
ENST00000607936.5,4.9700
ENST00000424010.1,0.0000
ENST00000541458.5,12.8900
ENST00000505980.5,16.6800
ENST00000480536.1,1.9500
ENST00000539820.5,0.0000
ENST00000489112.5,3.0500
ENST00000446203.1,0.0000
ENST00000624179.1,0.0000
ENST00000624857.1,0.0000
ENST00000571875.2,0.0000
ENST00000576248.1,0.0000
ENST00000429010.1,100.0000
ENST00000528178.1,0.0000
ENST00000591439.5,7.7500
ENST00000338790.4,0.0000
ENST00000528622.5,0.0000
ENST00000579735.1,0.0000
ENST00000516095.1,0.0000
ENST00000512746.1,0.0000
ENST00000506984.1,0.0000
ENST00000316999.9,25.2700
ENST00000504933.1,3.8900
ENST00000436759.6,27.4400
ENST00000453072.5,3.4900
ENST00000620895.1,0.0000
ENST00000589626.5,10.1500
ENST00000431108.5,0.0000
ENST00000391864.7,6.7400
ENST00000322285.7,0.0000
ENST00000504894.1,0.0000
ENST00000321399.7,0.0000
ENST00000610516.4,18.0200
ENST00000571471.5,25.7400
ENST00000426128.6,9.1600
ENST00000510291.5,1.4400
ENST00000415201.1,0.0000
ENST00000502213.6,13.1200
ENST00000511907.1,1.5800
ENST00000516933.1,0.0000
ENST00000533911.1,3.9500
ENST00000474256.1,13.1500
ENST00000412261.5,2.8200
ENST00000364264.1,0.0000
ENST00000460766.5,36.7700
ENST00000366527.3,100.0000
ENST00000565068.1,0.0000
ENST00000602950.1,0.0000
ENST00000484729.2,0.0000
ENST00000573276.1,0.0000
ENST00000380338.8,11.9300
ENST00000362331.1,0.0000
ENST00000469772.5,0.0000
ENST00000562425.1,2.4400
ENST00000579259.1,0.0000
ENST00000417606.2,60.0400
ENST00000552215.5,8.1800
ENST00000448225.5,3.0500
ENST00000535490.2,0.0000
ENST00000616386.1,0.0000
ENST00000597569.1,0.0000
ENST00000368319.3,4.1700
ENST00000516965.1,0.0000
ENST00000567675.1,0.0000
ENST00000528541.1,1.1500
ENST00000566912.1,100.0000
ENST00000410019.3,0.0000
ENST00000549266.5,0.0000
ENST00000481341.5,1.6000
ENST00000412979.1,0.8000
ENST00000602580.5,0.1900
ENST00000353796.7,0.4500
ENST00000616662.4,0.0000
ENST00000395647.6,0.0000
ENST00000478770.6,0.0000
ENST00000594490.5,0.0000
ENST00000570090.1,0.0700
ENST00000547518.1,0.6200
ENST00000433595.5,0.0000
ENST00000608220.5,0.0000
ENST00000493185.2,0.2600
ENST00000497179.1,8.6000
ENST00000530817.1,0.0000
ENST00000240619.2,100.0000
ENST00000496972.6,13.9300
ENST00000483316.1,0.0300
ENST00000343090.10,40.9400
ENST00000560855.5,20.6200
ENST00000545444.5,15.3800
ENST00000457734.6,83.2800
ENST00000591494.5,0.0000
ENST00000450049.6,0.0000
ENST00000427833.1,0.0000
ENST00000456980.5,5.0100
ENST00000395999.5,0.0000
ENST00000563037.1,2.4000
ENST00000488243.1,0.4000
ENST00000598613.1,0.0000
ENST00000482967.5,36.7600
ENST00000620185.1,34.9500
ENST00000625692.1,0.0000
ENST00000611109.1,16.6600
ENST00000609788.5,0.0000
ENST00000532175.5,0.0000
ENST00000206595.10,36.0000
ENST00000477817.1,48.2600
ENST00000568983.5,1.4700
ENST00000473639.1,1.1600
ENST00000518596.5,0.0000
ENST00000510861.5,0.0000
ENST00000233121.6,28.3700
ENST00000451530.1,0.0000
ENST00000523997.5,0.0000
ENST00000403425.5,2.6200
ENST00000478613.5,0.0000
ENST00000446911.1,2.2400
ENST00000618569.1,0.0000
ENST00000438387.6,0.0000
ENST00000603831.5,1.6500
ENST00000444840.6,21.4600
ENST00000511896.5,0.0000
ENST00000317402.11,0.7000
ENST00000579600.2,0.0000
ENST00000422281.6,16.8500
ENST00000372188.5,2.5400
ENST00000587278.1,34.0900
ENST00000369515.6,43.5300
ENST00000558984.1,77.4500
ENST00000568358.1,0.0000
ENST00000601912.5,0.0000
ENST00000609609.1,100.0000
ENST00000625533.2,0.0000
ENST00000458602.6,0.0000
ENST00000602819.5,5.7800
ENST00000384737.1,0.0000
ENST00000362599.1,0.0000
ENST00000449239.5,1.2000
ENST00000508090.1,0.2000
ENST00000442421.5,0.0000
ENST00000376162.7,0.0000
ENST00000469272.1,0.0000
ENST00000360830.8,69.6500
ENST00000474471.7,0.0000
ENST00000547992.5,3.5600
ENST00000604391.1,0.0000
ENST00000364888.1,0.0000
ENST00000523101.1,0.0000
ENST00000469553.6,0.0000
ENST00000606619.1,4.8900
ENST00000474103.1,0.0000
ENST00000512120.1,0.0000
ENST00000629763.2,0.0000
ENST00000619609.1,0.0000
